t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,dyaw,power,mode_xy,mode_z
1.150000,1.261786729,1.123398765,1.792751938,1.596712047,1.315367738,-0.125350344,-0.896953541,-1.175148999,0.629776327,-1.637354456,-1.591097021,0.407469972,0.000000000,0.000000000,true,0,0
1.160000,1.277708735,1.136493427,1.791529989,1.587663368,1.303539404,-0.119033068,-0.912511370,-1.190248440,0.633593112,-1.474812660,-1.429381873,0.356031670,0.000000000,0.000000000,true,0,0
1.170000,1.293539504,1.149469077,1.790371395,1.578467177,1.291568101,-0.112680182,-0.926461824,-1.203748452,0.636899854,-1.315879564,-1.271211166,0.305461456,0.000000000,0.000000000,true,0,0
1.180000,1.309277640,1.162324365,1.789276488,1.569139369,1.279469648,-0.106296742,-0.938840990,-1.215684478,0.639705234,-1.160555167,-1.116584899,0.255759332,0.000000000,0.000000000,true,0,0
1.190000,1.324921905,1.175058097,1.788245546,1.559695475,1.267259507,-0.099887720,-0.949684956,-1.226091964,0.642017934,-1.008839471,-0.965503073,0.206925297,0.000000000,0.000000000,true,0,0
1.200000,1.340471213,1.187669233,1.787278802,1.550150667,1.254952786,-0.093457997,-0.959029809,-1.235006355,0.643846634,-0.860732473,-0.817965688,0.158959350,0.000000000,0.000000000,true,0,0
1.210000,1.355924631,1.200156880,1.786376439,1.540519755,1.242564238,-0.087012371,-0.966911635,-1.242463093,0.645200015,-0.716234176,-0.673972743,0.111861493,0.000000000,0.000000000,true,0,0
1.220000,1.371281370,1.212520293,1.785538592,1.530817191,1.230108264,-0.080555552,-0.973366521,-1.248497624,0.646086757,-0.575344578,-0.533524239,0.065631726,0.000000000,0.000000000,true,0,0
1.230000,1.386540783,1.224758868,1.784765350,1.521057061,1.217598908,-0.074092163,-0.978430555,-1.253145393,0.646515543,-0.438063680,-0.396620175,0.020270047,0.000000000,0.000000000,true,0,0
1.240000,1.401702365,1.236872139,1.784056755,1.511253095,1.205049861,-0.067626739,-0.982139824,-1.256441843,0.646495052,-0.304391482,-0.263260552,-0.024223543,0.000000000,0.000000000,true,0,0
